證券代碼	簡稱	年月日	開盤價(元)	最高價(元)	最低價(元)	收盤價(元)	成交量(千股)	成交值(千元)
2412   	中華電       	20170629	  103.60	  104.08	  102.65	  103.13	     6535	      706047
Y9999  	加權指數     	20170629	10442.18	10476.51	10390.90	10421.65	  5402821	   100488780
2317   	鴻海         	20170630	  113.04	  113.52	  111.59	  112.56	    68372	     7995817
2330   	台積電       	20170630	  206.50	  208.50	  206.50	  208.50	    31709	     6580047
2412   	中華電       	20170630	  102.65	  103.60	  101.69	  103.13	    12331	     1326414
Y9999  	加權指數     	20170630	10367.26	10395.07	10329.84	10395.07	  4536306	    95304784
2317   	鴻海         	20170703	  111.59	  113.52	  111.59	  112.08	    48446	     5650701
2330   	台積電       	20170703	  207.50	  209.00	  207.00	  209.00	    21066	     4382736
2412   	中華電       	20170703	  103.13	  104.08	  102.65	  104.08	     6848	      742941
Y9999  	加權指數     	20170703	10368.99	10412.79	10363.50	10412.79	  4453084	    85666492
2317   	鴻海         	20170704	  112.08	  112.56	  108.71	  108.71	    65450	     7491628
2330   	台積電       	20170704	  208.00	  208.50	  207.00	  207.00	    21592	     4476915
2412   	中華電       	20170704	  103.60	  104.08	  103.13	  103.13	     8105	      877607
Y9999  	加權指數     	20170704	10397.93	10421.72	10347.78	10347.78	  4893991	    92728204
2317   	鴻海         	20170705	  109.19	  111.59	  108.71	  111.59	    58318	     6682942
2330   	台積電       	20170705	  207.00	  208.50	  206.50	  208.50	    23463	     4868199
2412   	中華電       	20170705	  103.13	  104.08	  103.13	  104.08	     8310	      903551
Y9999  	加權指數     	20170705	10352.39	10404.79	10304.74	10404.79	  4293552	    84959839
2317   	鴻海         	20170706	  111.11	  111.11	  109.67	  111.11	    31861	     3661029
2330   	台積電       	20170706	  208.00	  208.50	  207.00	  207.50	    15260	     3166474
2412   	中華電       	20170706	  104.08	  104.08	  103.60	  103.60	     7766	      845109
Y9999  	加權指數     	20170706	10380.66	10381.20	10336.32	10368.20	  3994714	    87544601
2317   	鴻海         	20170707	  110.15	  110.63	  109.67	  110.15	    32707	     3742883
2330   	台積電       	20170707	  207.00	  207.50	  205.50	  206.00	    21567	     4449245
2412   	中華電       	20170707	  103.60	  104.08	  103.13	  103.60	     7382	      800967
Y9999  	加權指數     	20170707	10343.30	10343.30	10294.69	10297.25	  3741612	    83791845
2317   	鴻海         	20170710	  110.63	  111.59	  110.15	  111.11	    45153	     5205726
2330   	台積電       	20170710	  206.50	  207.00	  206.00	  206.00	    13326	     2749724
2412   	中華電       	20170710	  103.60	  104.08	  103.13	  103.60	     8231	      891942
Y9999  	加權指數     	20170710	10310.74	10331.11	10283.95	10289.91	  3961608	    82621691
2317   	鴻海         	20170711	  112.56	  114.00	  112.08	  114.00	    75118	     8852444
2330   	台積電       	20170711	  208.00	  212.00	  207.50	  212.00	    34593	     7275696
2412   	中華電       	20170711	  103.60	  104.08	  103.13	  104.08	    18393	     1997432
Y9999  	加權指數     	20170711	10313.08	10415.57	10313.08	10415.57	  4808364	   110479228
2317   	鴻海         	20170712	  114.00	  114.96	  113.52	  114.00	    91355	    10838373
2330   	台積電       	20170712	  211.00	  212.50	  210.50	  210.50	    26887	     5690155
2412   	中華電       	20170712	  104.08	  104.56	  103.60	  104.08	    17037	     1856586
Y9999  	加權指數     	20170712	10396.97	10450.87	10393.54	10420.68	  5099777	   112288665
2317   	鴻海         	20170713	  115.50	  116.00	  115.00	  115.50	    83078	     9607891
2330   	台積電       	20170713	  212.00	  216.00	  211.50	  214.50	    50136	    10735533
2412   	中華電       	20170713	  104.08	  104.56	  104.08	  104.56	    17450	     1906566
Y9999  	加權指數     	20170713	10418.74	10485.28	10418.74	10460.15	  5724517	   117503676
2317   	鴻海         	20170714	  116.00	  116.00	  115.00	  115.50	    35813	     4140224
2330   	台積電       	20170714	  213.00	  214.50	  212.00	  213.00	    22364	     4773890
2412   	中華電       	20170714	  104.56	  105.04	  104.08	  104.56	    10959	     1200666
Y9999  	加權指數     	20170714	10450.92	10466.34	10423.40	10443.91	  4863496	   101305353
2317   	鴻海         	20170717	  116.00	  116.00	  115.00	  115.50	    35526	     4107831
2330   	台積電       	20170717	  215.00	  215.50	  211.50	  213.00	    21400	     4566620
2412   	中華電       	20170717	  104.56	  105.51	  104.56	  105.04	    20894	     2296436
Y9999  	加權指數     	20170717	10467.27	10490.05	10436.31	10457.54	  4824543	   100189589
2317   	鴻海         	20170718	  115.50	  117.00	  115.00	  117.00	    34634	     4017352
2330   	台積電       	20170718	  213.00	  214.00	  212.00	  214.00	    18756	     3998545
2412   	中華電       	20170718	  105.04	  105.99	  104.56	  105.51	    13850	     1528432
Y9999  	加權指數     	20170718	10447.47	10481.26	10429.85	10481.26	  4840898	    97241737
2317   	鴻海         	20170719	  117.50	  118.00	  117.00	  117.00	    30175	     3540992
2330   	台積電       	20170719	  212.50	  215.00	  212.50	  214.50	    20661	     4428023
2412   	中華電       	20170719	  105.51	  105.99	  104.56	  105.04	    15455	     1703036
Y9999  	加權指數     	20170719	10472.81	10537.42	10472.81	10506.10	  5429199	   120095511
2317   	鴻海         	20170720	  118.00	  118.50	  116.50	  116.50	    34665	     4068390
2330   	台積電       	20170720	  215.00	  215.50	  214.00	  215.50	    20795	     4468108
2412   	中華電       	20170720	  105.04	  105.04	  104.08	  104.56	    20666	     2260847
Y9999  	加權指數     	20170720	10513.12	10534.52	10483.54	10499.36	  5016236	   103519884
2317   	鴻海         	20170721	  116.50	  116.50	  114.50	  115.00	    32812	     3783138
2330   	台積電       	20170721	  214.00	  215.00	  213.50	  214.00	    15422	     3302914
2412   	中華電       	20170721	  104.50	  105.00	  103.50	  103.50	    16775	     1746388
Y9999  	加權指數     	20170721	10468.47	10477.72	10428.56	10436.70	  4167695	    85631515
2317   	鴻海         	20170724	  114.50	  116.00	  114.00	  116.00	    28834	     3323847
2330   	台積電       	20170724	  213.50	  214.50	  213.00	  214.50	    20002	     4279712
2412   	中華電       	20170724	  103.50	  104.00	  103.00	  103.50	    13881	     1433849
Y9999  	加權指數     	20170724	10426.13	10461.28	10406.81	10461.28	  3935837	    82964547
2317   	鴻海         	20170725	  116.50	  117.50	  116.00	  117.00	    39264	     4590748
2330   	台積電       	20170725	  214.00	  214.50	  213.50	  214.00	    13853	     2965264
2412   	中華電       	20170725	  103.50	  104.00	  103.00	  103.50	     6349	      656326
Y9999  	加權指數     	20170725	10455.14	10473.98	10442.85	10463.15	  4566876	    93217152
2317   	鴻海         	20170726	  117.50	  117.50	  115.50	  115.50	    27988	     3266271
2330   	台積電       	20170726	  215.00	  215.00	  212.50	  213.00	    15900	     3393269
2412   	中華電       	20170726	  103.50	  104.00	  103.00	  103.50	     7504	      774497
Y9999  	加權指數     	20170726	10477.15	10500.11	10416.57	10419.11	  5320582	   109732730
2317   	鴻海         	20170727	  117.00	  118.50	  117.00	  117.50	    47888	     5642194
2330   	台積電       	20170727	  213.50	  216.00	  213.50	  215.50	    23045	     4959471
2412   	中華電       	20170727	  103.50	  104.00	  103.00	  103.50	     7574	      783007
Y9999  	加權指數     	20170727	10427.83	10516.23	10427.83	10508.37	  5521768	   110444483
2317   	鴻海         	20170728	  117.50	  118.00	  116.50	  117.50	    28597	     3358657
2330   	台積電       	20170728	  213.00	  214.00	  212.50	  213.00	    21121	     4498197
2412   	中華電       	20170728	  103.50	  103.50	  102.50	  103.00	    16031	     1653355
Y9999  	加權指數     	20170728	10480.67	10480.67	10410.53	10423.05	  4504894	    98797187
2317   	鴻海         	20170731	  116.50	  117.50	  116.50	  117.50	    26663	     3122696
